Chidamber-Kemerer metrics,sábado, 26 nov 2022 18:35:08 GMT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
net.sourceforge.ganttproject.GanttTreeTableModel.EndDateComparator,3,1,1,0,3,1
net.sourceforge.ganttproject.GanttTreeTableModel.Icons,1,1,0,0,2,0
net.sourceforge.ganttproject.IGanttProject,n/a,n/a,n/a,n/a,28,n/a
net.sourceforge.ganttproject.Mediator,4,1,2,0,3,3
net.sourceforge.ganttproject.OSXAdapter,10,2,3,0,18,11
net.sourceforge.ganttproject.PluginOptionsHandler,2,2,1,0,9,5
net.sourceforge.ganttproject.PluginPreferencesImpl,4,1,13,0,55,40
net.sourceforge.ganttproject.PreferenceServiceImpl,0,1,19,0,19,19
net.sourceforge.ganttproject.PrjInfos,5,1,4,0,10,10
net.sourceforge.ganttproject.ProjectEventListener,n/a,n/a,n/a,n/a,5,n/a
net.sourceforge.ganttproject.ProjectEventListener.Stub,2,1,5,6,5,5
net.sourceforge.ganttproject.ResourceChartTabContentPanel,10,2,4,0,26,8
net.sourceforge.ganttproject.ResourceDefaultColumn,15,n/a,5,n/a,17,10
net.sourceforge.ganttproject.ResourceLoadGraphicArea,22,6,6,1,36,18
net.sourceforge.ganttproject.ResourceLoadGraphicArea.ResourceChartSelection,8,2,2,0,21,8
net.sourceforge.ganttproject.ResourceLoadGraphicArea.ResourcechartImplementation,19,2,4,0,40,14
net.sourceforge.ganttproject.ResourceTreeImageGenerator,7,1,1,0,30,18
net.sourceforge.ganttproject.ResourceTreeTable,27,8,6,0,78,40
net.sourceforge.ganttproject.ResourceTreeTableModel,19,3,3,0,75,56
net.sourceforge.ganttproject.ResourceTreeTableModel.SelectionKeeper,2,1,1,0,11,6
net.sourceforge.ganttproject.ShowHideColumnsDialog,7,1,1,0,7,3
net.sourceforge.ganttproject.TaskContainmentHierarchyFacadeImpl,17,1,2,0,90,58
net.sourceforge.ganttproject.TaskModelModificationListener,12,2,1,0,22,10
net.sourceforge.ganttproject.TaskTreeImageGenerator,11,1,1,1,51,21
net.sourceforge.ganttproject.TaskTreeImageGenerator.PaintState,2,1,0,0,1,0
